x,y,color,condition
0,0.4,Bias 1,baseline
1,0.4,Bias 1,baseline
2,0.4,Bias 1,baseline
3,0,Bias 1,baseline
4,0.4,Bias 1,baseline
5,0.6,Bias 1,baseline
6,0.6,Bias 1,baseline
7,0.2,Bias 1,baseline
8,0.4,Bias 1,baseline
9,0.4,Bias 1,baseline
10,0.2,Bias 1,baseline
11,0.4,Bias 1,baseline
12,0.4,Bias 1,baseline
13,0.2,Bias 1,baseline
14,0.2,Bias 1,baseline
15,0.2,Bias 1,baseline
16,0.4,Bias 1,baseline
17,0.4,Bias 1,baseline
18,0.2,Bias 1,baseline
19,0.2,Bias 1,baseline
20,0.4,Bias 1,baseline
21,0.2,Bias 1,baseline
22,0.2,Bias 1,baseline
23,0.4,Bias 1,baseline
24,0.4,Bias 1,baseline
25,0.4,Bias 1,baseline
26,0,Bias 1,baseline
27,0,Bias 1,baseline
28,0.2,Bias 1,baseline
29,0.2,Bias 1,baseline
30,0.4,Bias 1,baseline
31,0.2,Bias 1,baseline
32,0.2,Bias 1,baseline
33,0.2,Bias 1,baseline
34,0,Bias 1,baseline
35,0.2,Bias 1,baseline
36,0,Bias 1,baseline
37,0.6,Bias 1,baseline
38,0.4,Bias 1,baseline
39,0.2,Bias 1,baseline
40,0.6,Bias 1,baseline
41,0.2,Bias 1,baseline
42,0.4,Bias 1,baseline
43,0.2,Bias 1,baseline
44,0.2,Bias 1,baseline
45,0.2,Bias 1,baseline
46,0.2,Bias 1,baseline
47,0.4,Bias 1,baseline
48,0.4,Bias 1,baseline
49,0.4,Bias 1,baseline
50,0.4,Bias 1,baseline
51,0.4,Bias 1,baseline
52,0.2,Bias 1,baseline
53,0.2,Bias 1,baseline
54,0.4,Bias 1,baseline
55,0.4,Bias 1,baseline
56,0.4,Bias 1,baseline
57,0.2,Bias 1,baseline
58,0.2,Bias 1,baseline
59,0.6,Bias 1,baseline
60,0,Bias 1,baseline
61,0.6,Bias 1,baseline
62,0.4,Bias 1,baseline
63,0.2,Bias 1,baseline
64,0,Bias 1,baseline
65,0.2,Bias 1,baseline
66,0.2,Bias 1,baseline
67,0.4,Bias 1,baseline
68,0.2,Bias 1,baseline
69,0.2,Bias 1,baseline
70,0.6,Bias 1,baseline
71,0.6,Bias 1,baseline
72,0.2,Bias 1,baseline
73,0.4,Bias 1,baseline
74,0.4,Bias 1,baseline
75,0.4,Bias 1,baseline
76,0.4,Bias 1,baseline
77,0,Bias 1,baseline
78,0,Bias 1,baseline
79,0.4,Bias 1,baseline
80,0,Bias 1,baseline
81,0.4,Bias 1,baseline
82,0.6,Bias 1,baseline
83,0.2,Bias 1,baseline
84,0.4,Bias 1,baseline
85,0.6,Bias 1,baseline
86,0.6,Bias 1,baseline
87,0.2,Bias 1,baseline
88,0.2,Bias 1,baseline
89,0.2,Bias 1,baseline
90,0.2,Bias 1,baseline
91,0.2,Bias 1,baseline
92,0.4,Bias 1,baseline
93,0,Bias 1,baseline
94,0.6,Bias 1,baseline
95,0.2,Bias 1,baseline
96,0.2,Bias 1,baseline
97,0.4,Bias 1,baseline
98,0.4,Bias 1,baseline
99,0.4,Bias 1,baseline
100,0.2,Bias 1,baseline
101,0.2,Bias 1,baseline
102,0.4,Bias 1,baseline
103,0.4,Bias 1,baseline
104,0,Bias 1,baseline
105,0.4,Bias 1,baseline
106,0.2,Bias 1,baseline
107,0.2,Bias 1,baseline
108,0.2,Bias 1,baseline
109,0.6,Bias 1,baseline
110,0.4,Bias 1,baseline
111,0.6,Bias 1,baseline
112,0.2,Bias 1,baseline
113,0,Bias 1,baseline
114,0.4,Bias 1,baseline
115,0.2,Bias 1,baseline
116,0.6,Bias 1,baseline
117,0.2,Bias 1,baseline
118,0.2,Bias 1,baseline
119,0.2,Bias 1,baseline
120,0.2,Bias 1,baseline
121,0,Bias 1,baseline
122,0.2,Bias 1,baseline
123,0,Bias 1,baseline
124,0.2,Bias 1,baseline
125,0.4,Bias 1,baseline
126,0.2,Bias 1,baseline
127,0.4,Bias 1,baseline
128,0,Bias 1,baseline
129,0,Bias 1,baseline
130,0.4,Bias 1,baseline
131,0.2,Bias 1,baseline
132,0.2,Bias 1,baseline
133,0.2,Bias 1,baseline
134,0.4,Bias 1,baseline
135,0.2,Bias 1,baseline
136,0.4,Bias 1,baseline
137,0,Bias 1,baseline
138,0.4,Bias 1,baseline
139,0.6,Bias 1,baseline
140,0.6,Bias 1,baseline
141,0.4,Bias 1,baseline
142,0.2,Bias 1,baseline
143,0.2,Bias 1,baseline
144,0.2,Bias 1,baseline
145,0.4,Bias 1,baseline
146,0.4,Bias 1,baseline
147,0.2,Bias 1,baseline
148,0,Bias 1,baseline
149,0.6,Bias 1,baseline
150,0.4,Bias 1,baseline
151,0.2,Bias 1,baseline
152,0.2,Bias 1,baseline
153,0.2,Bias 1,baseline
154,0,Bias 1,baseline
155,0.2,Bias 1,baseline
156,0.4,Bias 1,baseline
157,0.4,Bias 1,baseline
158,0.2,Bias 1,baseline
159,0.4,Bias 1,baseline
160,0,Bias 1,baseline
161,0.2,Bias 1,baseline
